ID,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
1.0,炭火焼鳥 鳥三昧 新橋店,050-5494-5859, ,東京都,港区新橋,3-23-1,Box’R Shinbashi 1F,https://r.gnavi.co.jp/pkb5gyhn0000/?sc_type=area&sc_area=jp&sc_dsp=rs_186055,True
2.0,個室・和食 和風ライオン安具楽（あぐら） 新宿店,050-5484-0414, ,東京都,新宿区新宿,3-28-9,5F,https://r.gnavi.co.jp/g160500/?sc_type=area&sc_area=jp&sc_dsp=rs_183669,True
3.0,湯葉豆富料理魚民 市原ちはら台店,0436-74-6288, ,千葉県,市原市ちはら台南,2-1-8,,https://r.gnavi.co.jp/5nrstm120000/,True
4.0,魚民 宇部新川駅前店,0836-21-3788, ,山口県,宇部市上町,1-7-9,1F,https://r.gnavi.co.jp/y027676/,True
5.0,魚民 草津温泉湯畑店,0279-88-0188, ,群馬県,吾妻郡草津町大字草津,126,草津温泉大東館西館2F,https://r.gnavi.co.jp/pe8jg6ww0000/,True
6.0,熟成肉と肉寿司ダイニング minehachiミネハチ 新橋本店,050-5488-6262, ,東京都,港区新橋,3-16-3,烏森ビル5F,https://r.gnavi.co.jp/ky927d720000/?sc_type=area&sc_area=jp&sc_dsp=rs_186000,True
7.0,魚民 新山口新幹線口駅前店,083-973-9988, ,山口県,山口市小郡令和,1-2-1,アイスタ新山口1F,https://r.gnavi.co.jp/y027649/,True
8.0,活イカともつ鍋 芋 中洲店,050-5486-8609, ,福岡県,福岡市博多区中洲,4-2-5,,https://r.gnavi.co.jp/9gvuc4zk0000/,True
9.0,魚民 岡谷本町3丁目店,0266-24-8388, ,長野県,岡谷市本町,3-1-3,シロンビル1F,https://r.gnavi.co.jp/n879502/,True
10.0,魚民 あざみ野西口駅前店,045-904-5988, ,神奈川県,横浜市青葉区あざみ野,1-11-2,フレンドリーあざみ野ビル2F,https://r.gnavi.co.jp/gajn124/,True
11.0,山内農場 飯田駅前店,0265-21-4388, ,長野県,飯田市中央通り,4-42,松澤店舗1F,https://r.gnavi.co.jp/gfypbz870000/,True
12.0,モツ酒場楽天地 KITTE博多店,050-5494-7550, ,福岡県,福岡市博多区博多駅中央街,9-1,KITTE博多B1,https://r.gnavi.co.jp/m8j4wge30000/,True
13.0,博多もつ鍋 おおやま 都ホテル博多,050-5493-8041, ,福岡県,福岡市博多区博多駅東,2-1-1,都ホテル博多2F,https://r.gnavi.co.jp/s7w5866r0000/,True
