店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
大山鶏と海鮮が旨い個室居酒屋 一兆 新宿西口店,050-5494-6033,,東京都,新宿区西新宿,1-18,甲新ビルB1,https://ggz9503.gorp.jp/,True
十徳や 筑紫口店,050-5484-5597,,福岡県,福岡市博多区博多駅東,2-4,,https://jyutokuyachikusiguchi.gorp.jp/,True
湯葉豆富料理魚民 市原ちはら台店,0436-74-6288,,千葉県,市原市ちはら台南,2-1,,https://gdgf098.gorp.jp/,True
魚民 宇部新川駅前店,0836-21-3788,,山口県,宇部市上町,1-7,1F,https://y027676.gorp.jp/,True
魚民 草津温泉湯畑店,0279-88-0188,,群馬県吾妻郡草津町大字草津126,,,草津温泉大東館西館2F,https://gdgf001.gorp.jp/,True
個室・和食 和風ライオン安具楽（あぐら） 新宿店,050-5484-0414,,東京都,新宿区新宿,3-28,5F,https://g160500.gorp.jp/,True
魚民 新山口新幹線口駅前店,083-973-9988,,山口県,山口市小郡令和,1-2,アイスタ新山口1F,https://y027649.gorp.jp/,True
活イカともつ鍋 芋 中洲店,050-5486-8609,,福岡県,福岡市博多区中洲,4-2,,https://fbe2900.gorp.jp/,True
魚民 岡谷本町3丁目店,0266-24-8388,,長野県,岡谷市本町,3-1,シロンビル1F,https://n879502.gorp.jp/,True
魚民 あざみ野西口駅前店,045-904-5988,,神奈川県,横浜市青葉区あざみ野,1-11,フレンドリーあざみ野ビル2F,https://gajn124.gorp.jp/,True
山内農場 飯田駅前店,0265-21-4388,,長野県,飯田市中央通り,4-42,松澤店舗1F,https://nb5d726.gorp.jp/,True
モツ酒場楽天地 KITTE博多店,050-5494-7550,,福岡県,福岡市博多区博多駅中央街,9-1,KITTE博多B1,https://f026112.gorp.jp/,True
博多もつ鍋 おおやま 都ホテル博多,050-5493-8041,,福岡県,福岡市博多区博多駅東,2-1,都ホテル博多2F,https://f158512.gorp.jp/,True
博多 なぎの木 西中洲本店,050-5485-4742,,福岡県,福岡市中央区西中洲,10-1,,https://f350200.gorp.jp/,True
個室×もつ鍋 健美食彩 SENSU（扇子）,050-5484-7174,,静岡県,藤枝市駅前,1-6,マルマンビル2F,https://nb6j900.gorp.jp/,True
魚民 新居浜登り道サンロード店,0897-32-0388,,愛媛県,新居浜市泉池町,8-32,コロンボ3号ビル1F,https://s026021.gorp.jp/,True
博多もつ鍋 おおやま カウンター KITTE博多,050-5493-8037,,福岡県,福岡市博多区博多駅中央街,9-1,KITTE博多B1,https://f158506.gorp.jp/,True
もつ鍋居酒屋 熱炎,050-5484-1327,,愛媛県大洲市東大洲414,,,,https://s393601.gorp.jp/,True
楽家,050-5487-0882,,沖縄県,那覇市高良,3-2,,https://fbfj800.gorp.jp/,True
完全個室 つくよみ離れ 博多駅博多口,050-5486-0797,,福岡県,福岡市博多区博多駅前,1-15,NOF博多駅前ビルB1,https://f565902.gorp.jp/,True
京もつ鍋ホルモン朱々 浦添店,050-5486-2248,,沖縄県,浦添市伊祖,2-25,,https://fb48000.gorp.jp/,True
やきとり家 すみれ 会津若松店,050-5486-7249,,福島県,会津若松市東千石,2-2,,https://sumile-aizuwakamatsu.gorp.jp/,True
天神,050-5485-1736,,愛媛県,松山市二番町,2-6,,https://s391800.gorp.jp/,True
個室居酒屋 やきとりの道楽,03-6698-9718,,東京都,台東区上野,5-25,御徒町グランディアビル3F,https://ghv0600.gorp.jp/,True
十徳や 筑紫口店,050-5484-5597,,福岡県,福岡市博多区博多駅東,2-4,,https://jyutokuyachikusiguchi.gorp.jp/,True
さかな市場 筑紫口店,050-5485-4433,,福岡県,福岡市博多区博多駅中央街,1-1,,https://sakanaichibachikusiguchi.gorp.jp/,True
魚民 尾道南口駅前店,0848-24-3788,,広島県,尾道市東御所町,2-11,みやビル1F,https://y027626.gorp.jp/,True
魚民 佐沼店,0220-22-9488,,宮城県,登米市迫町佐沼字中江,2-2,1F,https://t338115.gorp.jp/,True
魚民 伊豆長岡駅前店,055-949-2988,,静岡県,伊豆の国市南條,744-1,ナガスミ2F,https://nb5d725.gorp.jp/,True
個室×地鶏串焼き 権鹿‐GONROKU‐ 立川店,050-5486-5486,,東京都,立川市錦町,1-3,光ビル1F,https://gonroku.gorp.jp/,True
御八 池袋店,050-5484-1505,,東京都,豊島区西池袋,1-22,ナカヤビルB1,https://mihachi-ikebukuro.gorp.jp/,True
九州魂 呉駅前店,050-5487-5186,,広島県,呉市宝町,2-50,RECRE3F,https://y669915.gorp.jp/,True
魚民 津山大手町店,0868-25-1288,,岡山県,津山市大手町,5-10,対鶴ビル1F,https://y043411.gorp.jp/,True
肉問屋直営 黒毛和牛全品食べ飲み放題 牛若丸 武蔵小杉店,050-5493-6458,,神奈川県,川崎市中原区小杉町,3-442,1F,https://ghe8003.gorp.jp/,True
もつ鍋 田しゅう 広島店,050-5486-8381,,広島県,広島市中区紙屋町,1-6,星ビル2F,https://y961200.gorp.jp/,True
博多くろがね 本店,050-5488-8635,,福岡県,福岡市博多区博多駅中央街,1-1,西高架下1F,https://f170030.gorp.jp/,True
和牛・肉寿司食べ放題 個室居酒屋 えびす商店 広島袋町流川店,050-5487-4642,,広島県,広島市中区堀川町,4-17,小松屋ビルB1,https://ya62300.gorp.jp/,True
魚民 萩店,0838-25-6988,,山口県,萩市大字土原,493-1,,https://y043421.gorp.jp/,True
魚民 西那須野店,0287-37-4988,,栃木県,那須塩原市西三島,1-138,西三島貸店舗1F,https://gau4619.gorp.jp/,True
魚民 湯田温泉店,083-928-8688,,山口県,山口市湯田温泉,4-7,1F,https://y027685.gorp.jp/,True
魚民 上井草南口駅前店,03-5382-2488,,東京都,杉並区上井草,2-45,アールコリーヌ上井草1・2F,https://gajn170.gorp.jp/,True
魚民 宇多津店,0877-41-0188,,香川県,綾歌郡宇多津町浜二番丁,20-13,オークプラザ 1F,https://s026026.gorp.jp/,True
もつ焼きと円盤餃子 もつ治,050-5487-3966,,福島県,福島市置賜町,5-19,1F,https://motsuharu.gorp.jp/,True
魚民 肥後大津南口駅前店（熊本県）,096-293-4488,,熊本県,菊池郡大津町室,212-3,ひまわりビル1F,https://f654045.gorp.jp/,True
魚民 丸亀店,0877-58-1688,,香川県,丸亀市富屋町,73-3,西川屋ビル1F,https://s026017.gorp.jp/,True
なかすっ娘 仙台一番町店,050-5488-8689,,宮城県,仙台市青葉区一番町,4-3,第一勝山ビルB1,https://t753514.gorp.jp/,True
完全個室居酒屋 九州蔵 有楽町店,050-5492-8703,,東京都,千代田区有楽町,2-3,九重会館7F,https://gcd1114.gorp.jp/,True
全席完全個室 朝どれ鮮魚×A5和牛 3時間飲み放題 てまり 川崎店,050-5493-5009,,神奈川県,川崎市川崎区砂子,1-3,第一京浜ビル5F,https://ghcv402.gorp.jp/,True
琵琶魚・近江牛 だんない近江八幡店,050-5487-7079,,滋賀県,近江八幡市桜宮町,219-1,,https://dannaioumihachiman.gorp.jp/,True
炭鶏ともつ鍋 信長 各務原店,050-5486-5074,,岐阜県,各務原市小佐野町,1-1,,https://motsunabe-nobunaga-kagamihara.gorp.jp/,True
